image_sequence_folder,label
.\train_frames\10022_79,pencil
.\train_frames\10023_79,pencil
.\train_frames\10024_35,paper
.\train_frames\10025_35,paper
.\train_frames\10026_38,book
.\train_frames\10029_60,understand
.\train_frames\10030_60,understand
.\train_frames\10037_26,again
.\train_frames\10038_26,again
.\train_frames\10039_47,please
.\train_frames\10040_47,please
.\train_frames\10056_24,good
.\train_frames\10078_20,yes
.\train_frames\10079_20,yes
.\train_frames\10087_14,bird
.\train_frames\10088_14,bird
.\train_frames\10089_14,bird
.\train_frames\10090_14,bird
.\train_frames\10096_25,fish
.\train_frames\100_11,sister
.\train_frames\10103_32,milk
.\train_frames\10109_72,day
.\train_frames\1010_90,work
.\train_frames\10115_8,want
.\train_frames\1011_10,school
.\train_frames\10120_19,mother
.\train_frames\10127_54,hungry
.\train_frames\10182_27,sad
.\train_frames\10196_29,need
.\train_frames\10197_12,finish
.\train_frames\101_34,brother
.\train_frames\10214_66,english
.\train_frames\1023_83,when
.\train_frames\10245_80,walk
.\train_frames\10252_39,girl
.\train_frames\10253_39,girl
.\train_frames\10254_39,girl
.\train_frames\10255_42,boy
.\train_frames\10256_93,woman
.\train_frames\10257_58,man
.\train_frames\10258_58,man
.\train_frames\10262_19,mother
.\train_frames\10263_31,father
.\train_frames\10266_78,grandmother
.\train_frames\10267_92,grandfather
.\train_frames\10268_11,sister
.\train_frames\10269_11,sister
.\train_frames\1026_10,school
.\train_frames\10270_34,brother
.\train_frames\10271_34,brother
.\train_frames\10276_44,family
.\train_frames\10277_44,family
.\train_frames\10278_44,family
.\train_frames\10279_17,friend
.\train_frames\10280_17,friend
.\train_frames\10287_72,day
.\train_frames\10288_99,night
.\train_frames\10292_27,sad
.\train_frames\10296_54,hungry
.\train_frames\10297_16,tired
.\train_frames\102_78,grandmother
.\train_frames\10301_29,need
.\train_frames\10304_29,need
.\train_frames\10305_59,how
.\train_frames\10310_8,want
.\train_frames\10319_15,what
.\train_frames\10320_51,doctor
.\train_frames\10323_48,water
.\train_frames\10324_48,water
.\train_frames\10325_48,water
.\train_frames\10332_66,english
.\train_frames\10337_13,white
.\train_frames\1033_99,night
.\train_frames\10341_34,brother
.\train_frames\1034_99,night
.\train_frames\103_92,grandfather
.\train_frames\10429_52,yellow
.\train_frames\10430_13,white
.\train_frames\10431_24,good
.\train_frames\10432_24,good
.\train_frames\10433_24,good
.\train_frames\10437_26,again
.\train_frames\10438_31,father
.\train_frames\10452_62,beautiful
.\train_frames\10462_47,please
.\train_frames\10491_68,you
.\train_frames\10492_68,you
.\train_frames\1049_3,eat
.\train_frames\10503_69,who
.\train_frames\10504_30,where
.\train_frames\10505_30,where
.\train_frames\10506_21,student
.\train_frames\10507_58,man
.\train_frames\10508_39,girl
.\train_frames\10509_42,boy
.\train_frames\1050_3,eat
.\train_frames\10510_19,mother
.\train_frames\10511_31,father
.\train_frames\10512_11,sister
.\train_frames\10513_34,brother
.\train_frames\10517_20,yes
.\train_frames\10518_4,no
.\train_frames\10519_4,no
.\train_frames\1051_3,eat
.\train_frames\10523_9,deaf
.\train_frames\10524_45,hearing
.\train_frames\10525_0,hello
.\train_frames\10526_67,name
.\train_frames\10529_1,nice
.\train_frames\1052_3,eat
.\train_frames\10531_40,fine
.\train_frames\10540_73,now
.\train_frames\10541_97,know
.\train_frames\10552_90,work
.\train_frames\10558_25,fish
.\train_frames\1055_1,nice
.\train_frames\10565_36,forget
.\train_frames\10567_17,friend
